ACSL5	ENSG00000197142	CCDS7572, CCDS7573	uc001kzs.4
ACSL6	ENSG00000164398	CCDS34228, CCDS56382, CCDS56381, CCDS34229, CCDS56383	uc063gss.1
ACSM1	ENSG00000166743	CCDS10587	uc010bwg.2
ACSM2A	ENSG00000183747	CCDS76838, CCDS32401	uc002dhg.5
ACSM2B	ENSG00000066813	CCDS10586	uc002dhk.5
ACSM3	ENSG00000005187	CCDS10589, CCDS45435	uc002dhr.4
ACSM4	ENSG00000215009	CCDS44825	uc001qsx.2
ACSM5	ENSG00000183549	CCDS10585, CCDS81954	uc002dhe.4
ACSM6	ENSG00000173124	CCDS7440	
ACSS1	ENSG00000154930	CCDS58764, CCDS13167, CCDS58765	uc061vwl.1
ACSS2	ENSG00000131069	CCDS13243, CCDS42868	uc002xbd.3
ACSS3	ENSG00000111058	CCDS9022, CCDS81716	uc001szl.2
ACTA1	ENSG00000143632	CCDS1578	uc001htm.4
ACTA2	ENSG00000107796	CCDS7392	uc001kfq.4
ACTB	ENSG00000075624	CCDS5341	uc003sot.5
ACTBL2	ENSG00000169067	CCDS34163	uc003jrm.3
ACTC1	ENSG00000159251	CCDS10041	uc001ziu.2
ACTG1	ENSG00000184009	CCDS11782	uc002kal.3
ACTG2	ENSG00000163017	CCDS1930, CCDS56124	uc002sjw.4
ACTL6A	ENSG00000136518	CCDS3231, CCDS43174	uc003fjw.4
ACTL6B	ENSG00000077080	CCDS5702	uc003uvy.4
ACTL7A	ENSG00000187003	CCDS6772	uc004bdj.3
ACTL7B	ENSG00000148156	CCDS6771	uc004bdi.4
ACTL8	ENSG00000117148	CCDS183	uc001bat.3
ACTL9	ENSG00000181786	CCDS12207	uc032hly.2
ACTL10	ENSG00000182584	CCDS33463	uc002wzt.3
ACTN1	ENSG00000072110	CCDS45130, CCDS45129, CCDS9792	uc001xkl.4
ACTN2	ENSG00000077522	CCDS73053, CCDS60455, CCDS1613	uc001hyf.4
ACTN3	ENSG00000248746	CCDS53663, CCDS76439	uc021qlz.4
ACTN4	ENSG00000130402	CCDS12518	uc002oja.3
ACTR1A	ENSG00000138107	CCDS7536	uc001kvv.4
ACTR1B	ENSG00000115073	CCDS2033	uc002syb.3
ACTR2	ENSG00000138071	CCDS46307, CCDS1881	uc002sdq.4
ACTR3	ENSG00000115091	CCDS33277, CCDS63000	uc002tkx.3
ACTR3B	ENSG00000133627	CCDS5934, CCDS87568, CCDS34782	uc003wle.3
ACTR3C	ENSG00000106526	CCDS47744	uc003wgu.3
ACTR5	ENSG00000101442	CCDS13308	uc002xjd.3
ACTR6	ENSG00000075089	CCDS9074	uc001thb.3
ACTR8	ENSG00000113812	CCDS2875	uc003dhd.4
ACTR10	ENSG00000131966	CCDS32090	uc001xdf.4
ACTRT1	ENSG00000123165	CCDS14611	uc004eum.4
ACTRT2	ENSG00000169717	CCDS45	uc001ajz.4
